episode,rewards
0,-423.39
1,-98.47
2,-198.86
3,-55.13
4,-117.37
5,-198.61
6,-100.90
7,-94.93
8,-89.28
9,-202.74
10,-448.97
11,-53.45
12,-356.76
13,-270.01
14,-194.80
15,-475.29
16,-134.48
17,-279.47
18,-108.15
19,-382.76
20,-89.44
21,-246.82
22,-140.32
23,-725.54
24,-331.26
25,-367.30
26,-308.74
27,-237.07
28,-231.48
29,-158.85
30,-474.88
31,-307.57
32,-221.54
33,-237.21
34,-164.99
35,-128.24
36,-328.56
37,18.05
38,-109.48
39,-204.43
40,-86.25
41,-182.43
42,-149.42
43,-183.67
44,-61.46
45,-428.40
46,-95.18
47,-120.99
48,-246.71
49,-113.56
50,-292.89
51,-499.71
52,-99.39
53,-112.71
54,-65.16
55,-246.81
56,-224.30
57,-250.62
58,-367.11
59,-231.59
60,-305.16
61,-329.71
62,-338.23
63,-227.69
64,-120.69
65,-260.45
66,-103.99
67,-267.41
68,-324.84
69,-381.74
70,-254.99
71,-241.51
72,-387.29
73,-397.99
74,-42.42
75,-0.77
76,-110.18
77,-41.92
78,-272.92
79,-85.83
80,-179.17
81,-176.83
82,-405.44
83,-330.44
84,-141.84
85,-257.89
86,-196.23
87,-173.58
88,-359.01
89,-4.75
90,-128.07
91,-176.13
92,-336.26
93,-359.71
94,-205.44
95,-63.52
96,-158.66
97,-429.08
98,-234.33
99,-235.49
100,-179.46
101,-219.60
102,-176.07
103,-186.56
104,-128.38
105,-80.04
106,-252.48
107,-119.28
108,-203.42
109,-242.77
110,-277.85
111,-196.79
112,-268.62
113,-281.01
114,-195.62
115,-15.37
116,-148.10
117,-237.10
118,-253.19
119,-275.23
120,-197.75
121,26.64
122,-202.01
123,-268.25
124,-221.67
125,-40.82
126,-99.94
127,-239.84
128,-158.62
129,-287.05
130,-166.05
131,-247.01
132,-263.85
133,-225.06
134,-231.56
135,-311.93
136,-209.03
137,-277.62
138,-211.46
139,-164.52
140,-218.48
141,-116.76
142,-206.12
143,-293.42
144,-197.91
145,-178.24
146,-277.91
147,-241.42
148,-280.78
149,-315.44
150,-214.34
151,-15.52
152,-234.20
153,-176.16
154,-70.66
155,-126.87
156,-105.96
157,-221.55
158,-148.50
159,-262.36
160,-44.60
161,-103.05
162,-192.70
163,-106.05
164,-215.24
165,-217.98
166,-290.23
167,-228.38
168,-188.09
169,-162.77
170,-261.46
171,-150.67
172,-67.01
173,-166.37
174,-97.06
175,-495.34
176,-227.16
177,-36.71
178,-301.54
179,-111.76
180,-209.56
181,-256.02
182,-86.64
183,-178.39
184,-245.23
185,-92.94
186,-148.15
187,-310.93
188,-240.36
189,-24.65
190,-132.12
191,-1.99
192,-21.60
193,-28.78
194,-140.72
195,-141.42
196,-120.13
197,97.54
198,34.58
199,-104.48
200,-35.38
201,15.61
202,-22.37
203,-24.81
204,-63.86
205,34.57
206,-125.47
207,-68.08
208,-244.96
209,-124.06
210,-244.27
211,-89.73
212,-96.23
213,8.63
214,32.75
215,-45.73
216,-13.96
217,-109.97
218,31.78
219,-105.05
220,-103.98
221,-115.66
222,117.56
