episode,rewards
0,-285.66
1,-295.77
2,-713.52
3,-882.48
4,-1299.65
5,-851.55
6,-843.44
7,-1017.63
8,-829.57
9,-563.79
10,-1707.23
11,-1466.60
12,-983.83
13,-972.80
14,-544.16
15,-598.13
16,-619.81
17,-373.78
18,-263.67
19,-303.06
20,-269.39
21,-343.09
22,-279.50
23,-262.95
24,-430.20
25,-339.09
26,-383.23
27,-278.62
28,-291.69
29,-290.27
30,-316.99
31,-313.00
32,-387.26
33,-242.99
34,-343.74
35,-293.80
36,-206.26
37,-319.87
38,-371.61
39,-344.83
40,-373.29
41,-425.66
42,-246.85
43,-271.19
44,-378.28
45,-385.63
46,-228.18
47,-302.35
48,-225.62
49,-263.29
50,-210.27
51,-247.65
52,-246.24
53,-208.86
54,-281.56
55,-205.06
56,-204.39
57,-387.84
58,-261.72
59,-285.44
60,-323.57
61,-266.61
62,-242.15
63,-267.07
64,-248.82
65,-358.30
66,-154.80
67,-222.36
68,-136.07
69,-222.53
70,-274.38
71,-157.11
72,-230.05
73,-250.74
74,-249.72
75,-384.78
76,-426.26
77,-263.23
78,-213.63
79,-225.59
80,-218.76
81,-117.63
82,-177.93
83,-352.85
84,-261.62
85,-237.61
86,-16.01
87,-272.45
88,-195.92
89,-149.00
90,-193.80
91,-181.58
92,-220.54
93,-196.67
94,-126.23
95,-201.08
96,-103.53
97,-171.66
98,-152.75
99,-53.98
100,-160.07
101,-151.95
102,-107.38
103,-60.56
104,-444.57
105,-231.26
106,-597.17
107,-434.96
108,-259.58
109,-523.61
110,-706.17
111,-143.20
112,-167.95
113,-708.91
114,-148.23
115,-140.28
116,-457.88
117,-321.68
118,-299.66
119,-151.63
120,-312.12
121,-372.22
122,-399.49
123,-841.48
124,-366.05
125,-191.09
126,-209.01
127,-293.89
128,-294.76
129,-181.52
130,-287.07
131,-286.74
132,-485.96
133,-284.70
134,-384.68
135,-337.41
136,-283.35
137,-189.66
138,-388.03
139,-249.77
140,-654.79
141,-249.89
142,-186.16
143,-252.39
144,-236.92
145,-148.75
146,-140.78
147,-119.51
148,-549.43
149,-680.60
150,-299.96
151,-536.63
152,-862.55
153,-494.19
154,-207.39
155,-194.28
156,-263.08
157,-358.72
158,-211.27
159,-1026.46
160,-470.70
161,-993.33
162,-377.07
163,-640.62
164,-358.17
165,-643.32
166,-249.79
167,-381.65
168,-539.90
169,-254.47
170,-580.51
171,-244.37
172,-561.00
173,-334.73
174,-173.75
175,-232.35
176,-106.90
177,-274.19
178,-209.76
179,-211.90
180,-207.87
181,-250.55
182,-184.12
183,-118.18
184,-386.12
185,-189.22
186,-175.91
187,-243.19
188,-302.32
189,-251.20
190,-174.74
191,-110.65
192,-167.71
193,-215.50
194,-253.23
195,-170.92
196,-122.50
197,-285.39
198,-268.60
199,-146.66
200,-433.54
201,-339.88
202,-333.42
203,-249.64
204,-264.49
205,-132.98
206,-146.09
207,-158.69
208,-329.81
209,-149.31
210,-94.14
211,-113.90
212,-155.99
213,-170.65
214,-133.29
215,-124.46
216,-168.75
217,-165.24
218,-36.71
219,-323.51
220,-102.02
221,-203.07
222,-139.62
223,-202.53
224,-201.99
225,-333.21
226,-211.93
227,-203.98
228,-215.12
229,-307.70
230,-210.59
231,-433.28
232,-265.69
233,-370.49
234,-265.52
235,-365.47
236,-338.93
237,-422.12
238,-367.18
239,-44.20
