episode,rewards
0,-1650.98
1,-1489.90
2,-1472.26
3,-1094.48
4,-1395.98
5,-1526.76
6,-1495.79
7,-1122.22
8,-1331.79
9,-1418.96
10,-1551.18
11,-1210.45
12,-1167.03
13,-1244.08
14,-1368.93
15,-1545.08
16,-1231.48
17,-1130.43
18,-1463.27
19,-1558.41
20,-1505.43
21,-1166.18
22,-1496.33
23,-1153.98
24,-1273.96
25,-1039.08
26,-1049.56
27,-1175.93
28,-1222.94
29,-1433.64
30,-1095.68
31,-1528.17
32,-1499.65
33,-1607.97
34,-1392.94
35,-1493.63
36,-1390.38
37,-1516.54
38,-1496.51
39,-1234.58
40,-1140.96
41,-910.85
42,-811.34
43,-1212.90
44,-929.77
45,-930.51
46,-758.42
47,-911.27
48,-537.00
49,-678.30
50,-724.48
51,-538.53
52,-656.55
53,-741.01
54,-592.15
55,-691.69
56,-407.40
57,-538.94
58,-543.82
59,-810.31
60,-416.32
61,-537.38
62,-1494.88
63,-654.10
64,-531.35
65,-841.65
66,-780.08
67,-755.42
68,-801.51
69,-518.76
70,-144.76
71,-1269.61
72,-1338.91
73,-1.79
74,-1430.05
75,-1367.90
76,-1523.85
77,-1413.35
78,-1383.13
79,-1249.24
80,-264.51
81,-1221.64
82,-1290.25
83,-135.75
84,-400.71
85,-262.07
86,-522.62
87,-633.01
88,-498.76
89,-344.55
90,-130.22
91,-253.81
92,-1070.03
93,-264.82
94,-129.21
95,-124.85
96,-124.70
97,-227.95
98,-6.11
99,-2.15
100,-117.23
101,-1037.32
102,-344.62
103,-1.86
104,-125.87
105,-126.64
106,-132.12
107,-242.00
108,-123.57
109,-269.48
110,-133.05
111,-121.87
112,-130.23
113,-121.99
114,-118.36
115,-119.78
116,-337.53
117,-235.35
118,-628.08
119,-128.26
120,-244.58
121,-127.24
122,-131.87
123,-133.12
124,-134.18
125,-128.71
126,-1526.36
127,-1.82
128,-130.28
129,-121.37
130,-127.88
131,-363.94
132,-123.32
133,-377.40
134,-124.87
135,-126.17
136,-133.88
137,-119.16
138,-242.04
139,-255.78
140,-122.72
141,-129.22
142,-124.46
143,-249.19
144,-128.33
145,-129.53
146,-232.45
147,-129.81
148,-130.93
149,-126.03
150,-134.50
151,-125.06
152,-0.47
153,-1544.03
154,-117.87
155,-122.33
156,-1.80
157,-3.65
