episode,rewards,actor_loss,critic_loss
0,29.00,-0.0424,0.0045
1,10.00,-0.1518,0.0307
2,25.00,-0.0716,0.0088
3,11.00,-0.0775,0.0193
4,17.00,-0.0894,0.0281
5,11.00,-0.0589,0.0091
6,10.00,-0.0728,0.0089
7,21.00,-0.0804,0.0214
8,31.00,-0.1689,0.0355
9,38.00,-0.1091,0.0175
10,16.00,-0.1800,0.0367
11,12.00,-0.1775,0.0344
12,13.00,-0.0733,0.0204
13,10.00,-0.0738,0.0223
14,17.00,-0.1633,0.0275
15,18.00,-0.1530,0.0239
16,17.00,-0.1406,0.0204
17,23.00,-0.1280,0.0179
18,21.00,-0.0612,0.0165
19,10.00,-0.0643,0.0211
20,14.00,-0.0677,0.0139
21,13.00,-0.1514,0.0214
22,21.00,-0.0585,0.0170
23,22.00,-0.0610,0.0199
24,15.00,-0.1257,0.0157
25,11.00,-0.0590,0.0187
26,24.00,-0.0616,0.0114
27,15.00,-0.0708,0.0147
28,11.00,-0.0542,0.0142
29,13.00,-0.0567,0.0168
30,14.00,-0.0801,0.0097
31,49.00,-0.0812,0.0244
32,18.00,-0.0613,0.0187
33,23.00,-0.1128,0.0175
34,17.00,-0.0602,0.0179
35,17.00,-0.0732,0.0188
36,12.00,-0.0593,0.0162
37,11.00,-0.0661,0.0126
38,30.00,-0.0663,0.0134
39,21.00,-0.0769,0.0165
40,37.00,-0.0664,0.0187
41,13.00,-0.1343,0.0190
42,18.00,-0.0654,0.0171
43,10.00,-0.1255,0.0162
44,22.00,-0.0556,0.0141
45,12.00,-0.0540,0.0134
46,18.00,-0.1063,0.0117
47,33.00,-0.0532,0.0129
48,42.00,-0.0569,0.0148
49,15.00,-0.0553,0.0134
50,16.00,-0.0536,0.0122
51,16.00,-0.0973,0.0109
52,27.00,-0.0983,0.0116
53,21.00,-0.1150,0.0191
54,26.00,-0.0532,0.0115
55,12.00,-0.0948,0.0104
56,18.00,-0.1088,0.0200
57,11.00,-0.0902,0.0093
58,19.00,-0.0830,0.0077
59,24.00,-0.0883,0.0097
60,17.00,-0.0992,0.0162
61,18.00,-0.0818,0.0074
62,11.00,-0.0383,0.0063
63,12.00,-0.0355,0.0052
64,19.00,-0.0682,0.0057
65,22.00,-0.0790,0.0167
66,9.00,-0.0721,0.0138
67,13.00,-0.0329,0.0043
68,11.00,-0.0567,0.0038
69,10.00,-0.0286,0.0031
70,48.00,-0.0840,0.0188
71,15.00,-0.0572,0.0102
72,26.00,-0.1011,0.0166
73,34.00,-0.0734,0.0071
74,16.00,-0.0827,0.0177
75,52.00,-0.1134,0.0189
76,24.00,-0.0982,0.0142
77,28.00,-0.1087,0.0203
78,19.00,-0.0875,0.0102
79,11.00,-0.0988,0.0162
80,14.00,-0.0721,0.0144
81,9.00,-0.0478,0.0078
82,18.00,-0.0665,0.0060
83,20.00,-0.0698,0.0130
84,34.00,-0.0464,0.0071
85,36.00,-0.0523,0.0084
86,13.00,-0.0545,0.0086
87,18.00,-0.0449,0.0058
88,14.00,-0.0964,0.0168
89,14.00,-0.0411,0.0045
90,24.00,-0.0801,0.0158
91,18.00,-0.0565,0.0075
92,22.00,-0.0868,0.0133
93,33.00,-0.1054,0.0232
94,43.00,-0.1022,0.0174
95,16.00,-0.0972,0.0152
96,17.00,-0.0847,0.0158
97,17.00,-0.0629,0.0086
98,40.00,-0.0831,0.0185
99,30.00,-0.1038,0.0176
100,19.00,-0.0971,0.0206
101,15.00,-0.1025,0.0163
102,15.00,-0.0700,0.0105
103,21.00,-0.1051,0.0218
104,20.00,-0.0901,0.0122
105,51.00,-0.0694,0.0150
106,12.00,-0.0639,0.0130
107,19.00,-0.1250,0.0267
108,14.00,-0.0805,0.0148
109,13.00,-0.0669,0.0143
110,22.00,-0.0988,0.0216
111,21.00,-0.0972,0.0176
112,39.00,-0.1225,0.0260
113,13.00,-0.0757,0.0096
114,18.00,-0.1081,0.0187
115,48.00,-0.1041,0.0146
116,25.00,-0.0986,0.0127
117,64.00,-0.0877,0.0245
118,21.00,-0.1336,0.0259
119,26.00,-0.0746,0.0196
120,16.00,-0.1142,0.0162
121,18.00,-0.1289,0.0204
122,14.00,-0.1156,0.0165
123,13.00,-0.0989,0.0103
124,29.00,-0.0584,0.0137
125,31.00,-0.0546,0.0120
126,12.00,-0.0874,0.0235
127,22.00,-0.1036,0.0121
128,15.00,-0.0482,0.0101
129,17.00,-0.1114,0.0125
130,35.00,-0.1489,0.0340
131,50.00,-0.0784,0.0286
132,16.00,-0.1466,0.0161
133,32.00,-0.1022,0.0113
134,52.00,-0.0704,0.0273
135,45.00,-0.0616,0.0173
136,18.00,-0.0843,0.0272
137,69.00,-0.0675,0.0243
138,38.00,-0.1990,0.0308
139,21.00,-0.0545,0.0200
140,17.00,-0.0736,0.0320
141,34.00,-0.1576,0.0181
142,24.00,-0.1839,0.0355
143,41.00,-0.0666,0.0326
144,13.00,-0.0568,0.0219
145,26.00,-0.1819,0.0337
146,100.00,-0.2190,0.0416
147,37.00,-0.0715,0.0362
148,20.00,-0.0598,0.0361
149,17.00,-0.2083,0.0243
150,21.00,-0.0590,0.0301
151,37.00,-0.1386,0.0530
152,21.00,-0.0678,0.0353
153,48.00,-0.0829,0.0384
154,87.00,-0.2395,0.0347
155,36.00,-0.1042,0.0516
156,16.00,-0.0895,0.0487
157,46.00,-0.2640,0.0505
158,20.00,-0.0417,0.0335
