episode,rewards,actor_loss,critic_loss
0,48.00,0.0134,0.0005
1,17.00,-0.0267,0.0011
2,56.00,-0.0486,0.0065
3,23.00,-0.0315,0.0016
4,10.00,-0.0874,0.0123
5,15.00,-0.0505,0.0078
6,24.00,-0.0623,0.0113
7,28.00,-0.0403,0.0057
8,43.00,-0.0883,0.0233
9,16.00,-0.0889,0.0226
10,23.00,-0.1314,0.0283
11,20.00,-0.0987,0.0101
12,11.00,-0.1235,0.0217
13,29.00,-0.1346,0.0246
14,33.00,-0.1275,0.0207
15,29.00,-0.1353,0.0203
16,18.00,-0.0763,0.0242
17,20.00,-0.0633,0.0173
18,20.00,-0.0733,0.0195
19,10.00,-0.1158,0.0167
20,22.00,-0.1127,0.0169
21,16.00,-0.1065,0.0151
22,22.00,-0.0545,0.0116
23,16.00,-0.0569,0.0191
24,13.00,-0.0675,0.0153
25,10.00,-0.0551,0.0100
26,12.00,-0.0758,0.0079
27,11.00,-0.0687,0.0064
28,11.00,-0.0482,0.0072
29,8.00,-0.0407,0.0052
30,18.00,-0.0539,0.0045
31,16.00,-0.0321,0.0030
32,13.00,-0.0308,0.0026
33,50.00,-0.0493,0.0070
34,21.00,-0.0427,0.0046
35,20.00,-0.0696,0.0091
36,32.00,-0.0988,0.0177
37,20.00,-0.0742,0.0115
38,18.00,-0.0745,0.0120
39,73.00,-0.0925,0.0327
40,21.00,-0.1171,0.0273
41,26.00,-0.1397,0.0300
42,19.00,-0.0722,0.0260
43,12.00,-0.0911,0.0303
44,34.00,-0.0751,0.0163
45,13.00,-0.1444,0.0236
46,24.00,-0.1460,0.0211
47,17.00,-0.0996,0.0156
48,24.00,-0.0708,0.0223
49,25.00,-0.0912,0.0281
50,24.00,-0.0891,0.0259
51,20.00,-0.0712,0.0156
52,20.00,-0.1017,0.0149
53,17.00,-0.1025,0.0235
54,36.00,-0.0749,0.0215
55,22.00,-0.0930,0.0281
56,14.00,-0.0953,0.0249
57,11.00,-0.1207,0.0189
58,31.00,-0.0635,0.0171
59,57.00,-0.0848,0.0336
60,19.00,-0.0764,0.0217
61,31.00,-0.1324,0.0289
62,28.00,-0.0826,0.0261
63,19.00,-0.0644,0.0201
64,20.00,-0.0793,0.0244
65,34.00,-0.1049,0.0281
66,57.00,-0.1208,0.0270
67,24.00,-0.0700,0.0253
68,15.00,-0.1681,0.0233
69,32.00,-0.1462,0.0218
70,32.00,-0.0884,0.0272
71,19.00,-0.0583,0.0206
72,31.00,-0.1129,0.0310
73,36.00,-0.1919,0.0272
74,50.00,-0.0833,0.0257
75,20.00,-0.0747,0.0253
76,39.00,-0.1482,0.0251
77,37.00,-0.0515,0.0194
78,23.00,-0.1596,0.0408
79,37.00,-0.0599,0.0220
80,15.00,-0.0528,0.0183
81,24.00,-0.0784,0.0247
82,26.00,-0.0747,0.0231
83,27.00,-0.0431,0.0147
84,63.00,-0.0928,0.0188
85,29.00,-0.0793,0.0299
86,26.00,-0.1511,0.0341
87,11.00,-0.0567,0.0335
88,34.00,-0.0552,0.0238
89,19.00,-0.0959,0.0396
90,32.00,-0.0680,0.0322
91,59.00,-0.1861,0.0285
92,60.00,-0.0846,0.0245
93,43.00,-0.0444,0.0354
94,34.00,-0.1136,0.0500
95,74.00,-0.0785,0.0357
96,37.00,-0.1672,0.0364
97,21.00,-0.0486,0.0407
98,55.00,-0.1640,0.0585
99,61.00,-0.0398,0.0419
100,28.00,-0.3408,0.0423
101,21.00,-0.0342,0.0424
102,74.00,-0.1016,0.0535
103,40.00,-0.2549,0.0485
104,68.00,-0.1162,0.0246
105,66.00,-0.1871,0.0675
106,70.00,-0.1158,0.0598
107,48.00,-0.0895,0.0590
108,53.00,-0.0589,0.0586
109,22.00,-0.0444,0.0495
110,45.00,-0.0504,0.0447
111,30.00,-0.2151,0.0565
112,73.00,-0.1610,0.0166
113,86.00,-0.0651,0.0536
114,32.00,-0.1096,0.0362
115,84.00,-0.0274,0.0751
116,51.00,-0.2257,0.0449
117,17.00,-0.0752,0.0723
118,41.00,-0.0448,0.0470
119,36.00,-0.0412,0.0345
120,52.00,-0.1333,0.0341
121,24.00,-0.0265,0.0409
122,50.00,-0.0219,0.0168
123,73.00,-0.2401,0.0877
124,45.00,-0.2532,0.0282
125,91.00,-0.0392,0.0266
126,42.00,-0.2517,0.1122
127,24.00,-0.0619,0.0500
128,35.00,-0.2045,0.0344
129,62.00,-0.3353,0.0343
130,31.00,-0.4516,0.0442
131,140.00,-0.2607,0.0612
132,141.00,-0.0552,0.1120
133,132.00,-0.1043,0.0707
134,43.00,-0.6863,0.1192
135,78.00,-0.3289,0.0907
136,60.00,-0.0519,0.0555
137,34.00,-0.0657,0.1120
138,94.00,-0.0157,0.0699
139,96.00,-0.0308,0.0568
140,87.00,-0.0482,0.1221
141,116.00,-0.0780,0.0943
142,130.00,-0.3276,0.1033
143,98.00,-0.0156,0.0852
144,41.00,-0.0544,0.1389
145,57.00,-0.0602,0.1631
146,41.00,-0.1047,0.1194
147,43.00,-0.0647,0.0948
148,26.00,-0.0555,0.0933
149,25.00,-0.0500,0.0996
150,30.00,-0.0380,0.0652
151,41.00,-0.2907,0.0399
152,27.00,-0.3436,0.0573
153,93.00,-0.0590,0.0585
154,223.00,-0.1256,0.2311
155,32.00,-0.0751,0.0947
156,30.00,-0.4522,0.0822
157,21.00,-0.0454,0.0830
158,43.00,-0.0196,0.0234
159,23.00,-0.0246,0.0566
160,67.00,-0.0188,0.0629
161,76.00,-0.3686,0.0634
162,164.00,-0.0896,0.0846
163,57.00,-0.0727,0.1273
164,80.00,-0.0414,0.0993
165,151.00,-0.0334,0.1938
166,119.00,-0.1343,0.1718
167,38.00,-0.0705,0.1154
168,86.00,-0.0789,0.0838
169,67.00,-0.2409,0.1275
170,30.00,-0.0344,0.1181
171,132.00,-0.4775,0.1709
172,148.00,-0.0263,0.1476
173,84.00,-0.1247,0.1355
174,178.00,-0.0404,0.1261
175,174.00,-0.4672,0.2099
176,110.00,-0.0331,0.1502
177,93.00,-0.0195,0.1953
178,111.00,-0.0483,0.1074
179,184.00,-0.0646,0.1348
180,40.00,-0.0135,0.1531
181,84.00,-0.1289,0.1241
182,95.00,-0.0032,0.0873
183,84.00,-0.0511,0.1113
184,118.00,-0.0742,0.1182
185,142.00,-0.0906,0.1650
186,30.00,-0.0777,0.1678
187,62.00,-0.0170,0.0957
188,142.00,-0.4314,0.1458
189,31.00,-0.0164,0.1664
190,193.00,-0.0262,0.1165
191,161.00,-0.0272,0.1378
192,166.00,-0.5159,0.1710
193,121.00,-0.1741,0.2171
194,200.00,-0.3444,0.2357
195,224.00,-0.0344,0.2107
196,237.00,-0.2266,0.2734
197,132.00,-0.0192,0.2231
198,88.00,-0.0057,0.2611
199,205.00,-0.0361,0.2209
200,204.00,-0.1859,0.2380
201,173.00,-0.1455,0.2879
202,177.00,-0.0624,0.3011
203,244.00,-0.0719,0.2882
204,120.00,-0.0823,0.2599
205,180.00,-0.3234,0.2955
206,156.00,-0.0527,0.3056
207,195.00,-0.3386,0.2787
208,265.00,-0.0572,0.2971
209,212.00,-0.0547,0.2914
210,153.00,-0.2231,0.3084
211,67.00,-0.0313,0.4406
212,184.00,-0.0447,0.2254
213,78.00,-0.0597,0.3165
214,58.00,-0.8485,0.3351
215,152.00,-0.0257,0.1720
216,208.00,-0.3724,0.2589
217,298.00,-0.2695,0.2875
218,130.00,-0.0097,0.2705
219,298.00,-0.1565,0.2985
220,350.00,-0.1151,0.3103
221,215.00,-0.0288,0.2767
222,257.00,-0.0230,0.2993
223,196.00,-0.2122,0.8775
224,447.00,-0.3850,0.4409
225,126.00,-0.1096,0.8478
226,116.00,-0.7599,0.6987
227,117.00,-0.0230,0.6585
228,193.00,-0.1995,0.5291
229,116.00,-1.0834,0.4924
230,219.00,-0.1253,0.4443
231,158.00,-0.0407,0.4111
232,147.00,-0.0252,0.3654
233,125.00,-0.0382,0.3779
234,122.00,-0.0843,0.3077
235,146.00,-0.0327,0.3263
236,141.00,-0.0531,0.2724
237,158.00,-0.0745,0.2616
238,99.00,-0.0314,0.2596
239,14.00,-0.1817,0.4725
240,135.00,-0.0652,0.2408
241,248.00,-0.7528,0.2566
242,163.00,-0.1338,0.2552
243,99.00,-0.1010,0.2536
244,140.00,-0.1847,0.2107
245,162.00,-0.4815,0.2167
246,20.00,-0.1684,0.4403
247,26.00,-0.2531,0.3791
248,120.00,-0.0064,0.3765
249,26.00,-0.1944,0.3357
250,174.00,-0.0178,0.1941
251,98.00,-0.0108,0.3331
252,158.00,-0.4178,0.2018
253,216.00,-0.3843,0.2791
254,142.00,-0.1790,0.2507
255,19.00,-0.3248,0.3251
256,112.00,-0.0434,0.3204
257,172.00,-0.3913,0.2344
258,300.00,-0.0930,0.3283
259,306.00,-0.4689,0.2943
260,223.00,-0.0476,0.2970
261,200.00,-0.4548,0.2983
262,168.00,-0.2529,0.2856
263,139.00,-0.0872,0.2658
264,156.00,-0.4015,0.2772
265,137.00,-0.5530,0.2552
266,127.00,-0.2874,0.2365
267,133.00,-0.4820,0.2226
268,137.00,-0.4237,0.2209
269,104.00,-0.3003,0.1992
270,132.00,-0.0246,0.2211
271,135.00,-0.0389,0.2120
272,132.00,-0.0518,0.1906
273,27.00,-0.0149,0.3230
274,129.00,-0.0677,0.1729
275,25.00,-0.0138,0.2772
276,140.00,-0.6565,0.1643
277,119.00,-0.0062,0.1617
278,127.00,-0.0099,0.1710
279,141.00,-0.5192,0.1679
280,133.00,-0.0525,0.1710
281,138.00,-0.1331,0.1621
282,127.00,-0.0706,0.1702
283,127.00,-0.1526,0.1776
284,119.00,-0.0190,0.1604
285,146.00,-0.2111,0.1611
286,105.00,-0.0083,0.1529
287,106.00,-0.0043,0.1367
288,121.00,-0.2168,0.1550
289,134.00,-0.0247,0.1675
290,154.00,-0.4058,0.1630
291,123.00,-0.0244,0.1569
292,140.00,-0.4040,0.1519
293,140.00,-0.2237,0.1643
294,136.00,-0.0443,0.1678
295,137.00,-0.6915,0.1509
296,142.00,-0.4754,0.1585
297,160.00,-0.0504,0.1727
298,138.00,-0.2793,0.1684
299,148.00,-0.0325,0.1850
300,159.00,-0.4112,0.1862
301,141.00,-0.3692,0.1811
302,122.00,-0.1615,0.1542
303,18.00,-0.0896,0.3466
304,111.00,-0.0243,0.1183
305,107.00,-0.0183,0.1105
306,126.00,-0.4166,0.1242
307,171.00,-0.1457,0.1448
308,152.00,-0.5737,0.1532
309,143.00,-0.1197,0.1500
310,156.00,-0.0119,0.1441
311,151.00,-0.5731,0.1391
312,129.00,-0.0102,0.1194
313,132.00,-0.0226,0.1196
314,132.00,-0.3763,0.1234
315,158.00,-0.1999,0.1364
316,166.00,-0.0102,0.1612
317,158.00,-0.0124,0.1343
318,150.00,-0.0131,0.1314
319,152.00,-0.0133,0.1473
320,143.00,-0.1809,0.1474
321,180.00,-0.0452,0.1563
322,91.00,-0.9906,0.2841
323,66.00,-0.0425,0.3797
324,105.00,-0.0563,0.3415
325,188.00,-0.0061,0.1238
326,54.00,-0.0212,0.2990
327,171.00,-0.3624,0.1055
328,142.00,-0.1441,0.0859
329,146.00,-0.0090,0.1139
330,154.00,-0.0167,0.1083
331,146.00,-0.1593,0.0959
332,117.00,-0.0598,0.0997
333,126.00,-0.2327,0.0920
334,152.00,-0.0165,0.1046
335,135.00,-0.1427,0.1057
336,148.00,-0.0090,0.1098
337,137.00,-0.0637,0.1084
338,147.00,-0.0180,0.1130
339,173.00,-0.0355,0.1276
340,176.00,-0.0243,0.0990
341,156.00,-0.8732,0.1107
342,157.00,-0.0393,0.1344
343,151.00,-1.1043,0.1453
344,227.00,-0.2555,0.2114
345,49.00,-0.0455,0.4171
346,83.00,-0.0004,0.4292
347,199.00,-0.0013,0.2944
348,40.00,-0.0420,0.3220
349,42.00,-0.5269,0.3349
350,189.00,-0.2864,0.1330
351,191.00,-0.3096,0.1321
352,197.00,-0.9433,0.1887
353,200.00,-0.1935,0.1607
354,218.00,-0.1488,0.1961
355,31.00,-0.0189,0.3551
356,217.00,-0.0034,0.2577
357,203.00,-0.0584,0.2129
358,221.00,-0.2779,0.2120
359,255.00,-1.1811,0.2354
360,262.00,-0.2121,0.2703
361,235.00,-0.0651,0.2574
362,242.00,-0.0026,0.2481
363,224.00,-0.0623,0.2918
364,208.00,-0.2979,0.2745
365,180.00,-0.5671,0.2918
366,213.00,-0.8782,0.2812
367,215.00,-0.0615,0.3064
368,278.00,-0.2710,0.3021
369,245.00,-0.3466,0.2786
370,281.00,-0.0345,0.2945
371,248.00,-0.0510,0.3447
372,278.00,-0.3080,0.3154
373,275.00,-0.2709,0.3398
374,213.00,-0.1066,0.3374
375,243.00,-0.4387,0.3646
