episode,loss,rewards
0,0.22,25.00
1,0.38,33.00
2,0.04,10.00
3,0.06,12.00
4,0.45,36.00
5,0.14,20.00
6,0.69,45.00
7,0.05,11.00
8,0.05,11.00
9,0.88,51.00
10,0.06,13.00
11,0.20,24.00
12,0.42,35.00
13,0.05,11.00
14,0.58,41.00
15,0.07,14.00
16,0.08,15.00
17,0.42,35.00
18,0.06,13.00
19,0.42,35.00
20,0.19,23.00
21,0.55,40.00
22,1.86,75.00
23,0.11,17.00
24,0.08,15.00
25,0.31,30.00
26,2.69,91.00
27,0.38,33.00
28,0.13,19.00
29,0.03,9.00
30,0.07,14.00
31,0.15,21.00
32,0.57,41.00
33,0.20,24.00
34,0.12,18.00
35,0.68,45.00
36,0.65,44.00
37,0.22,25.00
38,0.20,24.00
39,0.27,28.00
40,0.07,14.00
41,0.31,30.00
42,0.24,26.00
43,0.31,30.00
44,0.29,29.00
45,0.13,19.00
46,0.12,18.00
47,0.10,17.00
48,0.56,41.00
49,0.39,34.00
50,0.53,40.00
51,0.65,44.00
52,0.29,29.00
53,0.07,13.00
54,0.99,55.00
55,0.19,24.00
56,1.59,70.00
57,0.15,21.00
58,0.23,26.00
59,0.27,28.00
60,0.12,18.00
61,0.21,24.00
62,0.07,13.00
63,0.37,33.00
64,0.34,32.00
65,0.11,17.00
66,0.03,8.00
67,0.77,48.00
68,0.10,17.00
69,0.12,18.00
70,0.08,14.00
71,0.12,18.00
72,0.15,21.00
73,0.33,31.00
74,0.08,14.00
75,0.55,41.00
76,0.57,41.00
77,0.85,51.00
78,0.25,27.00
79,0.71,47.00
80,0.16,21.00
81,0.35,32.00
82,0.51,39.00
83,0.18,23.00
84,3.15,101.00
85,0.16,22.00
86,2.31,85.00
87,0.13,19.00
88,0.39,35.00
89,0.57,42.00
90,0.17,22.00
91,0.17,22.00
92,1.96,79.00
93,0.43,36.00
94,0.43,36.00
95,0.22,25.00
96,0.63,44.00
97,0.45,37.00
98,0.29,30.00
99,0.46,38.00
100,0.36,33.00
101,0.61,44.00
102,2.05,80.00
103,0.44,37.00
104,1.15,60.00
105,0.61,44.00
106,0.25,27.00
107,0.13,19.00
108,1.86,77.00
109,0.44,37.00
110,0.25,28.00
111,1.23,63.00
112,0.21,24.00
113,0.63,45.00
114,0.41,35.00
115,1.08,58.00
116,0.12,18.00
117,0.19,23.00
118,0.25,27.00
119,0.86,52.00
120,0.14,19.00
121,2.35,89.00
122,0.25,28.00
123,0.07,12.00
124,0.52,40.00
125,0.78,50.00
126,3.21,103.00
127,0.82,51.00
128,0.30,30.00
129,0.48,39.00
130,0.22,26.00
131,0.80,51.00
132,0.26,28.00
133,0.93,54.00
134,0.41,36.00
135,0.44,37.00
136,0.31,32.00
137,0.98,55.00
138,0.49,40.00
139,0.22,25.00
140,0.65,46.00
141,1.07,60.00
142,0.28,29.00
143,0.26,28.00
144,0.91,55.00
145,0.83,53.00
146,0.13,19.00
147,0.47,39.00
148,1.04,59.00
149,0.13,20.00
150,0.33,33.00
151,0.41,37.00
152,0.43,37.00
153,1.27,64.00
154,0.18,24.00
155,2.97,98.00
156,0.12,18.00
157,0.23,26.00
158,2.56,93.00
159,0.54,41.00
160,3.23,103.00
161,1.15,60.00
162,1.78,77.00
163,0.69,46.00
164,0.87,53.00
165,3.12,105.00
166,2.98,102.00
167,0.20,24.00
168,0.43,37.00
169,0.61,45.00
170,0.46,39.00
171,0.93,54.00
172,1.52,71.00
173,0.66,45.00
174,3.32,103.00
175,2.93,100.00
176,0.96,57.00
177,1.85,79.00
178,0.76,51.00
179,0.86,54.00
180,3.84,117.00
181,2.16,86.00
182,0.36,34.00
183,0.38,36.00
184,3.29,108.00
185,0.17,21.00
186,3.00,100.00
187,0.62,46.00
188,0.97,56.00
189,0.86,53.00
190,0.27,27.00
191,0.47,40.00
192,0.20,23.00
193,0.74,49.00
194,1.97,79.00
195,0.50,41.00
196,0.21,24.00
197,2.11,86.00
198,0.51,42.00
199,0.59,46.00
200,0.48,40.00
201,2.42,92.00
202,1.59,72.00
203,5.69,139.00
204,0.98,57.00
205,0.31,30.00
206,1.28,65.00
207,4.01,122.00
208,3.20,104.00
209,0.35,34.00
210,0.36,35.00
211,2.33,90.00
212,10.29,200.00
213,1.24,64.00
214,0.40,36.00
215,1.49,71.00
216,0.92,57.00
217,0.69,47.00
218,2.38,92.00
219,0.87,52.00
220,0.47,41.00
221,1.05,60.00
222,4.31,124.00
223,2.91,100.00
224,0.73,46.00
225,3.38,107.00
226,2.62,95.00
227,0.34,32.00
228,5.90,150.00
229,0.57,40.00
230,5.81,146.00
231,0.66,47.00
232,2.89,101.00
233,1.30,63.00
234,2.93,102.00
235,1.16,65.00
236,6.97,161.00
237,3.85,118.00
238,3.51,114.00
239,1.09,62.00
240,1.30,64.00
241,2.48,87.00
242,0.69,49.00
243,3.65,112.00
244,4.04,117.00
245,0.69,48.00
246,1.50,73.00
247,0.30,31.00
248,0.45,37.00
249,4.83,128.00
250,0.25,29.00
251,0.55,40.00
252,0.80,53.00
253,11.83,208.00
254,13.17,226.00
255,1.74,79.00
256,2.63,93.00
257,1.56,73.00
258,0.85,52.00
259,0.80,52.00
260,6.52,154.00
261,2.94,101.00
262,0.34,33.00
263,1.53,73.00
264,5.52,140.00
265,3.44,111.00
266,2.06,85.00
267,0.96,56.00
268,0.15,20.00
269,4.49,128.00
270,0.90,54.00
271,2.34,92.00
272,3.04,105.00
273,4.22,122.00
274,4.38,125.00
275,0.51,41.00
276,1.19,65.00
277,0.55,44.00
278,3.06,105.00
279,1.72,78.00
280,0.79,53.00
281,3.69,116.00
282,0.63,47.00
283,1.90,80.00
284,3.64,116.00
285,0.23,27.00
286,1.15,64.00
287,6.37,151.00
288,6.33,154.00
289,1.41,72.00
290,1.03,59.00
291,5.02,134.00
292,5.78,149.00
293,0.69,48.00
294,0.65,48.00
295,1.20,66.00
296,6.38,154.00
297,3.66,114.00
298,3.79,121.00
299,4.03,122.00
300,4.01,122.00
301,2.36,93.00
302,4.37,127.00
303,7.02,166.00
304,2.00,84.00
305,22.44,300.00
306,3.82,121.00
307,1.39,67.00
308,5.85,151.00
309,7.46,174.00
310,6.94,161.00
311,3.20,108.00
312,8.41,185.00
313,1.06,60.00
314,4.81,133.00
315,1.22,66.00
316,15.27,246.00
317,2.88,101.00
318,0.23,26.00
319,6.69,161.00
320,5.54,147.00
321,6.91,167.00
322,5.18,136.00
323,32.86,376.00
324,3.88,124.00
325,0.74,48.00
326,6.90,162.00
327,6.01,156.00
328,9.90,197.00
329,4.90,132.00
330,0.85,54.00
331,25.96,335.00
332,1.41,71.00
333,7.99,179.00
334,6.88,166.00
335,5.78,150.00
336,2.98,102.00
337,1.02,58.00
338,19.46,285.00
339,8.48,188.00
340,7.24,167.00
341,6.04,158.00
342,5.63,149.00
343,18.82,276.00
344,9.22,190.00
345,28.58,349.00
346,15.40,249.00
347,19.61,289.00
348,13.39,231.00
349,6.23,156.00
350,1.35,71.00
351,2.02,85.00
352,6.44,156.00
353,3.99,123.00
354,3.56,117.00
355,3.88,120.00
356,1.09,63.00
357,0.34,33.00
358,1.79,81.00
359,2.60,97.00
360,4.72,134.00
361,0.90,55.00
362,3.73,117.00
363,2.11,85.00
364,3.96,123.00
365,1.29,66.00
366,5.42,141.00
367,1.94,87.00
368,4.90,138.00
369,0.63,47.00
370,2.18,85.00
371,10.18,201.00
372,4.88,133.00
373,4.85,137.00
374,5.16,139.00
375,0.25,28.00
376,15.77,253.00
377,11.68,212.00
378,6.99,164.00
379,6.61,161.00
380,2.12,87.00
381,10.63,202.00
382,44.30,453.00
383,53.69,500.00
384,32.58,388.00
385,6.28,158.00
386,47.18,471.00
387,3.93,123.00
388,15.67,256.00
389,4.46,131.00
390,51.33,500.00
391,27.76,345.00
392,19.32,286.00
393,40.91,439.00
394,17.89,269.00
395,13.88,240.00
396,3.88,124.00
397,10.34,200.00
398,3.63,116.00
399,9.98,199.00
400,20.47,300.00
401,27.70,350.00
402,13.47,235.00
403,19.19,288.00
404,5.09,133.00
405,43.18,445.00
406,10.64,205.00
407,23.49,323.00
408,8.59,181.00
409,14.83,242.00
410,27.94,356.00
411,29.14,347.00
412,37.97,421.00
413,16.09,270.00
414,4.95,137.00
415,4.52,127.00
416,20.80,305.00
417,16.59,267.00
418,6.11,155.00
419,10.76,211.00
420,7.26,167.00
421,4.98,140.00
422,20.76,301.00
423,50.44,491.00
424,50.10,500.00
425,6.55,162.00
426,4.10,120.00
427,51.34,500.00
428,31.74,374.00
429,7.60,170.00
430,11.63,215.00
431,12.39,224.00
432,4.05,129.00
433,7.50,176.00
434,10.64,212.00
435,5.01,138.00
436,3.15,112.00
437,9.84,204.00
438,2.48,95.00
439,2.39,93.00
440,7.90,184.00
441,5.67,153.00
442,6.45,159.00
443,11.24,219.00
444,6.15,160.00
445,5.48,149.00
446,5.13,144.00
447,5.03,145.00
448,14.17,249.00
449,13.52,243.00
450,8.44,186.00
451,8.08,182.00
452,8.53,191.00
453,11.05,220.00
454,4.00,128.00
455,30.32,376.00
456,4.98,147.00
457,6.51,162.00
458,7.11,165.00
459,10.42,214.00
460,10.23,209.00
461,2.45,98.00
462,17.58,274.00
463,16.34,266.00
464,13.16,229.00
465,3.66,112.00
466,37.55,413.00
467,17.91,279.00
468,14.59,250.00
469,21.96,317.00
470,29.46,364.00
471,8.06,178.00
472,36.36,418.00
473,18.32,283.00
474,26.38,332.00
475,42.50,456.00
476,50.54,500.00
477,25.89,339.00
478,50.41,500.00
479,16.89,266.00
480,34.09,407.00
481,36.80,420.00
482,41.26,444.00
483,50.80,500.00
484,43.64,448.00
485,50.55,500.00
486,49.70,500.00
487,45.16,468.00
488,49.79,500.00
489,50.67,500.00
490,20.25,290.00
491,47.82,500.00
492,50.10,500.00
493,50.15,500.00
494,49.37,500.00
495,50.34,500.00
496,50.02,500.00
497,48.29,500.00
498,49.80,500.00
499,49.59,500.00
500,50.43,500.00
501,23.51,325.00
502,48.09,500.00
503,49.90,500.00
504,50.11,500.00
505,48.76,500.00
506,48.92,500.00
507,51.32,500.00
508,49.33,500.00
509,50.10,500.00
510,50.49,500.00
511,49.32,500.00
512,50.07,500.00
513,49.07,500.00
514,49.90,500.00
515,49.42,500.00
516,6.99,172.00
517,49.67,500.00
518,49.37,500.00
519,50.15,500.00
520,47.44,500.00
521,50.24,500.00
522,51.06,500.00
523,49.19,500.00
524,50.42,500.00
525,50.07,500.00
526,49.82,500.00
527,40.15,433.00
528,50.71,500.00
529,38.35,440.00
530,5.03,141.00
531,31.03,376.00
532,27.22,354.00
533,23.40,330.00
534,15.24,256.00
535,22.89,313.00
536,18.66,291.00
537,32.32,398.00
538,24.61,338.00
539,23.46,327.00
540,21.04,306.00
541,24.39,345.00
542,11.84,227.00
543,33.68,401.00
544,25.74,348.00
545,4.54,134.00
546,24.44,332.00
547,38.97,431.00
548,25.69,344.00
549,27.81,359.00
550,11.18,219.00
551,4.16,124.00
552,17.16,278.00
553,4.50,137.00
554,41.69,438.00
555,27.03,367.00
556,30.44,381.00
557,34.46,408.00
558,38.54,439.00
559,26.01,346.00
560,36.39,426.00
561,36.75,426.00
562,22.69,325.00
563,50.09,500.00
564,35.65,410.00
565,51.02,499.00
566,48.66,500.00
567,42.79,466.00
568,48.31,500.00
569,48.46,500.00
570,47.86,500.00
571,50.88,500.00
572,50.00,500.00
573,49.33,500.00
574,49.49,500.00
575,49.35,500.00
576,49.54,500.00
577,51.17,500.00
578,48.32,500.00
579,47.09,500.00
580,16.74,278.00
581,48.52,500.00
582,47.44,500.00
583,48.49,494.00
584,46.00,500.00
585,7.95,183.00
586,49.02,500.00
587,47.50,500.00
588,47.68,500.00
589,23.39,354.00
590,49.77,500.00
591,25.26,356.00
592,47.73,500.00
593,35.45,416.00
594,43.87,476.00
595,45.98,500.00
596,4.87,140.00
597,46.92,500.00
598,48.31,500.00
599,47.80,500.00
600,48.12,500.00
601,48.38,500.00
602,47.72,500.00
603,45.03,500.00
604,48.02,500.00
605,18.60,287.00
606,49.48,500.00
607,46.91,500.00
608,47.44,500.00
609,19.40,302.00
610,46.47,500.00
611,48.16,500.00
612,29.52,384.00
613,49.79,500.00
614,49.77,500.00
615,47.52,500.00
616,47.22,500.00
617,47.37,500.00
618,48.27,500.00
619,28.76,372.00
620,48.41,500.00
621,48.86,500.00
622,9.60,200.00
623,45.58,491.00
624,50.14,500.00
625,48.07,500.00
626,46.30,500.00
627,46.47,500.00
628,47.85,500.00
629,48.59,500.00
630,2.69,100.00
631,47.72,500.00
632,47.10,500.00
633,34.59,414.00
634,21.09,308.00
635,3.70,120.00
636,0.72,46.00
637,3.30,117.00
638,12.48,238.00
639,14.23,256.00
640,6.01,165.00
641,3.72,127.00
642,4.23,131.00
643,5.03,146.00
644,6.52,159.00
645,2.95,114.00
646,3.72,128.00
647,2.56,104.00
648,2.72,104.00
649,3.39,126.00
650,0.53,46.00
651,1.28,72.00
652,3.57,114.00
653,3.08,113.00
654,0.77,52.00
655,3.31,117.00
656,3.80,118.00
657,3.88,134.00
658,4.54,135.00
659,5.77,155.00
660,3.39,113.00
661,2.86,109.00
662,3.07,116.00
663,2.57,106.00
664,0.38,37.00
665,3.12,118.00
666,2.84,104.00
667,2.70,105.00
668,3.52,123.00
669,3.25,111.00
670,3.57,125.00
671,1.12,69.00
672,0.76,58.00
673,3.54,124.00
674,1.04,67.00
675,3.03,118.00
676,0.45,44.00
677,3.99,128.00
678,1.19,66.00
679,3.02,106.00
680,3.92,130.00
681,4.53,140.00
682,0.48,45.00
683,3.32,118.00
684,3.45,119.00
685,3.96,127.00
686,0.47,44.00
687,0.53,43.00
688,3.42,123.00
689,0.97,62.00
690,0.61,46.00
691,4.37,137.00
692,3.28,115.00
693,2.80,109.00
694,3.97,136.00
695,6.10,161.00
696,0.34,37.00
697,3.08,116.00
698,3.27,116.00
699,3.01,107.00
700,3.02,120.00
701,2.53,102.00
702,2.84,105.00
703,3.91,125.00
704,2.99,114.00
705,3.31,119.00
706,4.14,128.00
707,2.85,112.00
708,3.47,126.00
709,3.55,120.00
710,0.29,34.00
711,3.56,127.00
712,3.43,126.00
713,3.27,117.00
714,0.83,59.00
715,3.82,130.00
716,4.81,141.00
717,2.93,111.00
718,10.13,204.00
719,6.25,161.00
720,0.58,46.00
721,3.79,129.00
722,3.83,126.00
723,4.65,139.00
724,6.48,169.00
725,1.26,70.00
