episode,rewards,actor_loss,critic_loss
0,-174.69,-0.9602,0.5715
1,-253.37,-0.5063,0.1456
2,-483.63,0.8130,0.4442
3,-128.03,-0.7999,0.2643
4,-144.88,-0.6800,0.2038
5,-53.33,-0.2745,0.0703
6,-234.40,-0.2548,0.0806
7,-404.24,1.4326,0.7671
8,-214.28,0.2188,0.0163
9,2.19,-0.3641,0.0434
10,-265.76,-0.1815,0.0114
11,-301.56,1.5336,1.6225
12,-134.74,-0.5380,0.0954
13,-172.03,0.0678,0.0040
14,-247.12,0.0677,0.0035
15,-52.31,-0.6924,0.3683
16,-107.79,-0.7145,0.1698
17,-224.27,0.4091,0.0692
18,-94.44,-0.5458,0.3303
19,-434.67,-0.0414,0.0032
20,-77.84,-0.5694,0.1408
21,-176.29,0.0469,0.0033
22,-114.19,-0.4505,0.1407
23,-132.05,-0.6096,0.4997
24,-104.46,-0.2674,0.0756
25,-172.95,-0.3050,0.0849
26,-324.86,-0.1563,0.0069
27,-243.85,-1.2722,0.2625
28,-226.94,0.3005,0.1418
29,-5.32,-0.3659,0.1860
30,-154.51,-0.6152,0.3233
31,-66.98,-0.6714,0.3266
32,-128.51,-0.1360,0.0245
33,-353.05,0.0891,0.0369
34,-30.39,-0.0701,0.0085
35,-239.03,0.1039,0.2446
36,-48.40,-0.7449,0.1916
37,-213.21,0.2035,0.5133
38,-7.02,0.0304,0.0002
39,-178.63,0.0948,0.7077
40,-195.57,0.0673,0.4945
41,-84.36,-0.2783,0.0334
42,4.05,0.1032,0.0015
43,-213.79,0.1082,0.2742
44,-163.43,-0.3029,0.4186
45,-196.36,0.1409,0.0780
46,-118.32,-0.0031,0.0001
47,-10.35,-0.0088,0.0002
48,-77.67,-0.0107,0.0002
49,-198.75,-1.1437,0.3708
50,-108.94,0.0013,0.0000
51,-21.70,-0.0129,0.0001
52,-104.84,-0.0054,0.0001
53,-74.75,-0.0257,0.0001
54,-55.29,-0.0027,0.0000
55,-55.59,0.0028,0.0001
56,-65.30,0.0003,0.0000
57,-75.74,0.0094,0.0007
58,5.86,-0.0058,0.0001
59,85.06,0.0401,1.1750
60,-40.81,0.0029,0.0002
61,-105.26,-2.6951,0.6206
62,-92.78,0.0081,0.0005
63,-73.13,-0.4283,0.5625
64,-158.73,-0.0392,0.2828
65,-113.47,-0.0672,0.1895
66,171.12,0.0025,1.2818
67,-137.54,-0.9728,0.5037
68,-85.85,-0.2227,0.3857
69,-95.15,-0.6539,0.3651
70,-157.10,-0.0003,1.0194
71,-55.16,-0.0000,0.1953
72,-61.23,-0.4808,0.3184
73,-97.23,-0.2638,0.2319
74,-65.11,-0.0001,0.0370
75,-75.96,-0.0000,0.0602
76,-66.50,-0.3987,0.2559
77,143.40,0.0025,2.0850
78,-23.78,-0.0012,0.6793
79,69.71,0.0080,1.6720
80,-54.78,-0.3419,0.5649
81,159.78,0.0014,1.2603
82,-46.20,-0.2389,1.2361
83,-31.99,-0.0094,0.0000
84,-75.08,-0.0080,0.0001
85,-79.85,-0.0000,0.0000
86,-38.23,-0.0231,0.0002
87,-61.80,0.0000,0.0000
88,-6.97,-0.0022,0.0002
89,-17.41,-0.0001,0.0001
90,-121.36,-0.0010,0.4065
91,-140.92,-1.2406,0.2526
92,-133.26,-0.0070,0.0497
93,-154.60,-0.0768,0.0543
94,-109.39,-0.1233,0.0590
95,-143.37,-1.4035,0.2054
