episode,rewards,actor_loss,critic_loss
0,-308.46,-0.0817,0.0061
1,-520.70,1.4856,1.7671
2,-239.40,1.0395,0.6575
3,-183.27,0.7357,0.1892
4,-270.31,0.2660,0.0971
5,-101.46,-0.0296,0.0015
6,-357.98,0.1055,0.0124
7,-330.68,0.6515,0.7139
8,-335.19,0.5619,0.5342
9,-387.12,0.2529,0.2826
10,-320.25,0.2270,0.1022
11,-164.98,-0.0388,0.0172
12,-129.93,-0.1646,0.1043
13,14.04,-0.1570,0.2330
14,-142.44,-1.4530,0.1761
15,-119.34,-0.0569,0.3310
16,-19.43,-0.3077,0.4557
17,2.31,-0.4279,1.0373
18,153.24,0.0728,1.2830
19,-54.56,-0.1081,1.0693
20,205.92,0.0664,0.8986
21,34.77,0.0158,0.0023
22,-185.78,0.0038,0.0002
23,-144.50,-0.0003,0.4863
24,-71.29,-0.0654,0.1851
25,-18.49,-0.0075,0.0001
26,109.66,0.1469,1.5268
27,7.77,-0.0001,0.0000
28,-197.31,-0.0115,0.4032
29,-83.23,-0.0472,0.0004
30,-94.21,0.0031,0.0001
31,-68.53,-0.0093,0.0001
32,-54.49,-0.0012,0.0000
33,-28.55,0.0036,0.0000
34,-52.55,0.0350,0.0010
35,-207.94,-0.0010,0.0303
36,-138.16,-0.0463,0.5986
37,-55.62,0.0119,0.0000
38,-87.78,-0.0002,0.0000
39,-119.12,-0.0034,0.0002
40,-48.57,-0.0002,0.0000
41,-94.93,0.0284,0.0011
42,-106.38,0.0004,0.0004
43,-73.87,-0.0008,0.0003
44,-52.00,0.0034,0.0001
45,-50.07,0.0000,0.0000
46,-114.64,0.0017,0.0001
47,-109.19,-0.0339,0.0002
48,-92.20,0.0001,0.0000
49,-81.45,-0.0079,0.0000
50,-116.36,-0.0022,0.0000
51,-126.43,-0.0097,0.0000
52,-106.06,-0.0004,0.0000
53,-24.76,0.0003,0.0002
54,-79.25,0.0004,0.0001
55,-146.86,0.0032,0.0001
56,-110.67,0.0000,0.0000
57,-282.52,-0.0000,0.1412
58,141.17,0.0001,1.4567
59,-103.38,0.0000,0.0000
60,-65.40,-0.0040,0.5455
61,-198.55,0.0000,0.2186
62,138.27,0.0716,1.5836
63,-22.89,-0.0032,0.7299
64,-53.60,0.0011,0.0005
65,-111.98,-0.0646,0.0002
66,100.87,0.0007,0.0000
67,-11.68,0.0031,0.0001
68,172.64,0.0035,0.0000
69,-52.29,0.0001,0.0000
70,-103.14,-0.0011,0.0002
71,-74.28,-0.0184,0.0004
72,14.87,-0.0000,1.2286
73,-76.65,0.0016,0.0003
74,-33.79,-0.0001,0.0000
75,-124.37,-0.0185,0.0000
76,-58.15,-0.0081,0.0002
77,-87.62,-0.0008,0.0000
78,-67.63,0.0001,0.0003
79,-69.65,-0.0817,0.0005
80,-37.11,0.0000,0.0000
81,-121.90,0.0062,0.0001
82,-150.05,0.0000,0.0000
83,-89.36,0.0078,0.0001
84,-51.22,0.0002,0.0000
85,-110.21,-0.0023,0.0000
86,-90.29,0.0017,0.0001
87,1.87,-0.0008,0.0000
88,-40.47,-0.0285,0.0003
89,6.97,0.0001,0.0000
90,-81.50,0.0052,0.0003
91,-72.87,-0.0089,0.0002
92,-56.77,0.0000,0.0000
93,-86.17,-0.0154,0.0001
94,-140.16,0.0002,0.0000
95,-130.46,-0.0018,0.0000
96,-81.43,0.0006,0.0000
97,-84.21,0.0098,0.0000
98,-234.06,-0.0003,0.0000
99,-17.64,-0.0000,0.0000
100,-64.80,-0.0013,0.0000
101,170.82,0.0009,0.8711
102,-86.85,0.0001,0.0000
103,-132.39,0.0000,0.9979
104,-67.45,-0.0001,0.0000
105,-137.89,-0.0154,0.0000
106,-138.72,-0.0000,0.0000
107,-176.86,-0.0419,0.0002
108,-105.07,-0.0000,0.0000
109,-172.45,0.0027,0.0001
110,-53.43,0.0000,0.5258
111,-142.07,-0.0000,0.0000
112,-64.97,-0.0000,0.0000
113,-40.74,0.0000,0.0000
114,-98.24,0.0001,0.0000
115,-61.13,-0.0002,0.0001
116,-104.64,0.0000,0.0000
117,-67.80,-0.0013,0.0000
118,-154.08,0.0028,0.0000
119,-56.10,0.0017,0.0000
120,-51.03,0.0000,0.0860
121,-117.32,-0.0088,0.0000
122,-154.83,-2.3834,0.3246
123,-87.48,-0.0015,0.1816
124,-106.64,-0.3435,0.1029
125,-120.32,-0.4308,0.1481
126,-132.94,-0.0355,0.3049
127,-129.63,0.0000,0.0000
128,-65.80,0.0003,0.0007
129,-124.12,0.0000,0.0000
130,-113.33,-0.0068,0.0003
131,-93.90,0.0006,0.0001
132,-197.70,-0.0015,0.3563
133,-107.47,-0.2163,0.0958
134,-124.30,0.0000,0.0437
135,-167.73,-0.0565,0.0910
136,-89.62,-0.0015,0.0007
137,-97.10,0.0003,0.0130
138,-66.03,0.0000,0.0000
139,-136.52,-0.0035,0.0001
140,-141.42,-0.0011,0.0000
141,-162.49,0.0000,0.0000
142,-95.01,-0.0000,0.0001
143,-89.86,-0.2150,0.2555
144,-85.71,-0.0003,0.0000
145,-97.14,-0.0020,0.0003
146,-90.19,-0.0049,0.0002
147,-171.25,-0.0073,0.1438
148,-85.75,-0.0114,0.0225
149,-140.78,-0.0000,0.0000
150,-98.07,-0.0023,0.0922
151,-134.86,-0.0016,0.0000
152,-105.62,-0.0031,0.0006
153,-113.01,-0.0000,0.0000
154,-120.29,-0.0015,0.0001
155,-207.42,0.0001,0.0000
156,-106.55,0.0250,0.0001
157,-145.30,0.0001,0.0002
158,-88.64,-0.0001,0.0893
159,-74.96,-0.0008,0.0001
160,-101.73,-0.0008,0.0000
161,-117.42,0.0000,0.0002
162,-96.67,0.0020,0.0000
163,-247.40,-0.0095,0.2676
164,-172.72,-0.0946,0.6767
165,-45.38,0.0000,0.0000
166,-41.46,0.0000,0.0002
167,96.19,0.0000,1.1256
168,-40.82,0.0000,0.1075
169,-75.71,-0.0000,0.0000
170,-166.89,-0.0022,0.6364
171,-74.24,-0.0076,0.0002
172,-104.52,-0.0030,0.5785
173,-114.64,-0.0378,0.2639
174,-77.83,-0.0000,0.0277
175,-62.74,-0.0002,0.0092
176,-47.14,0.0000,0.0209
177,-24.76,0.0000,0.0114
178,-37.01,0.0000,0.0001
179,-85.80,0.0000,0.0001
180,-53.17,0.0010,0.0000
181,-106.42,-0.0002,0.0000
182,-103.60,-0.0377,0.4996
183,-54.21,0.0000,0.0001
184,-58.19,0.0001,0.0001
185,-140.53,-0.0001,0.0000
186,-88.29,-0.0178,0.0001
187,-131.96,0.0000,0.0003
188,-152.83,-0.0022,0.5634
