episode,loss,rewards
0,-6.54,-84.69
1,-13.80,-256.16
2,-9.23,-136.45
3,-15.68,-210.99
4,-17.29,-285.41
5,-4.32,-78.12
6,-6.44,-124.03
7,-7.91,-159.02
8,-4.51,-87.71
9,-10.12,-142.05
10,-7.67,-114.52
11,-12.30,-273.59
12,-11.54,-250.66
13,-5.98,-106.47
14,-6.32,-132.54
15,-11.41,-151.17
16,-11.61,-219.09
17,-7.68,-142.42
18,-0.12,-13.88
19,-3.92,-57.36
20,-6.32,-111.07
21,-9.18,-147.21
22,-30.89,-331.14
23,-6.31,-112.36
24,-5.82,-81.69
25,-14.39,-254.63
26,-11.28,-204.60
27,-5.21,-87.99
28,-28.43,-341.57
29,-8.06,-79.76
30,-12.49,-179.65
31,-12.13,-145.33
32,-7.57,-110.66
33,-14.60,-213.69
34,-19.01,-294.92
35,-13.99,-251.80
36,-6.47,-116.16
37,-13.34,-253.59
38,0.49,-1.03
39,-10.66,-138.12
40,-25.52,-324.00
41,0.77,13.97
42,-14.94,-229.34
43,-12.75,-261.73
44,-10.07,-120.98
45,-12.72,-250.07
46,-4.29,-83.05
47,-6.25,-95.81
48,-15.44,-252.76
49,-17.98,-200.53
50,-5.68,-79.48
51,-8.25,-116.14
52,-11.43,-180.79
53,-9.61,-253.68
54,-15.49,-218.26
55,-5.24,-89.64
56,-8.79,-130.57
57,-14.13,-252.83
58,-10.31,-126.79
59,-5.98,-88.26
60,-12.03,-253.91
61,-14.60,-179.81
62,-10.03,-156.27
63,-10.04,-191.48
64,-11.73,-208.18
65,-13.84,-251.87
66,-14.73,-221.25
67,-16.32,-258.54
68,-0.97,-20.11
69,-13.29,-143.05
70,-9.43,-192.43
71,-7.22,-121.98
72,-11.89,-231.00
73,-13.02,-234.20
74,-4.59,-90.79
75,-17.16,-252.89
76,-7.98,-106.54
77,-8.10,-118.68
78,-7.95,-101.10
79,-6.09,-107.52
80,-5.88,-112.38
81,-5.57,-87.44
82,-8.66,-124.99
83,-13.05,-179.02
84,-7.57,-132.64
85,-6.94,-127.51
86,-4.43,-76.11
87,-12.01,-224.61
88,-5.66,-124.32
89,-8.05,-118.08
90,-9.73,-187.78
91,-12.17,-246.82
92,-9.74,-121.84
93,-6.89,-122.29
94,-4.11,-93.47
95,-17.05,-322.67
96,-4.19,-70.12
97,-3.35,-61.40
98,-6.26,-95.39
