episode,rewards,loss,l2_grad,max_grad
0,-238.22,0.76,0.2236,6.4947
1,-75.68,-0.04,0.3096,11.5852
2,-111.24,-0.02,0.2525,6.4267
3,-83.13,-0.19,0.1336,2.6191
4,-91.05,0.58,0.2829,10.7267
5,-388.42,-0.97,0.2748,7.0663
6,-74.90,0.23,0.2191,7.8435
7,-79.11,0.40,0.2349,7.7024
8,-108.86,0.34,0.2200,6.8945
9,-88.97,-0.82,0.2107,7.1816
10,-174.44,0.04,0.2768,8.5385
11,-277.73,0.61,0.3337,7.2093
12,-348.69,0.17,0.2957,6.3114
13,-248.18,0.63,0.1949,4.8125
14,-132.53,0.61,0.2094,7.2751
15,-74.79,0.35,0.3014,9.7511
16,13.08,-0.38,0.1390,2.6927
17,-274.70,0.53,0.2937,7.5575
18,-42.10,-0.48,0.2143,6.3584
19,-285.68,0.57,0.2245,3.1224
20,-208.62,0.82,0.2158,6.8204
21,-123.05,0.27,0.2834,10.3144
22,-117.47,-0.21,0.2684,8.5047
23,-143.65,0.41,0.1821,5.0797
24,-166.15,0.27,0.2034,5.2399
25,-227.70,-0.41,0.1700,3.7709
26,-317.14,1.25,0.3840,11.8055
27,-198.26,-0.73,0.1963,6.5189
28,-50.94,-0.78,0.2313,7.5291
29,-419.75,1.22,0.4720,15.0010
30,-98.30,-0.79,0.4159,14.7735
31,-161.81,0.36,0.2142,7.7616
32,-94.88,-1.13,0.2622,8.5167
33,-88.90,-0.06,0.2545,9.1910
34,-369.44,0.56,0.2741,6.9405
35,-279.74,-0.11,0.2029,3.9157
36,-178.76,-0.26,0.1745,2.5921
37,-603.41,-1.65,0.4014,11.5738
38,-431.12,1.30,0.2439,7.0156
39,-195.84,-1.52,0.2832,9.7884
40,-155.27,-0.55,0.1629,4.0884
41,-327.09,-1.47,0.2720,8.6217
42,-363.80,-0.65,0.2594,6.5297
43,-245.15,0.12,0.1563,4.3918
44,-341.75,0.35,0.4232,11.7492
45,-217.16,-0.26,0.2644,8.5257
46,-352.37,0.22,0.2004,5.0239
47,-70.97,0.38,0.1175,2.1768
48,-298.35,0.12,0.2348,7.0391
49,-99.48,-0.47,0.2446,8.8538
50,-238.22,0.02,0.2568,5.1450
51,-39.92,0.30,0.1815,4.4963
52,-117.84,-0.56,0.2128,6.7276
53,-145.48,0.38,0.2814,9.0373
54,-188.16,-0.17,0.2266,7.4370
55,-93.97,0.56,0.1940,7.1099
56,-101.32,-0.91,0.2628,9.1337
57,-356.00,0.54,0.4442,14.4344
58,-242.13,-1.73,0.2332,6.7325
59,-208.06,-0.27,0.1759,5.4456
60,-305.18,0.36,0.1903,4.7578
61,-99.04,-0.55,0.2378,7.9235
62,-264.63,0.22,0.2161,5.0784
63,-336.43,-0.02,0.3102,9.6232
64,-312.45,0.80,0.3638,11.2590
65,-114.37,-0.03,0.0881,2.6727
66,-103.53,0.02,0.2982,10.0587
67,-50.91,-0.96,0.2765,8.8389
68,-160.46,-0.33,0.1139,1.5571
69,-215.85,-0.09,0.2075,5.5480
70,-176.26,-0.04,0.1774,4.8592
71,-121.33,0.58,0.2759,8.2945
72,-291.83,-1.33,0.3075,9.5150
73,-47.47,0.56,0.1906,6.1094
74,-418.23,0.21,0.2707,6.0676
75,-271.14,0.96,0.3456,11.5977
76,-221.31,-0.08,0.2121,4.2556
77,-303.74,0.92,0.4081,11.8116
78,-120.71,-0.84,0.2483,8.9956
79,-125.07,0.26,0.1692,5.9171
80,-356.95,0.53,0.3611,10.9805
81,-100.47,-0.15,0.3095,10.5294
82,-277.50,-0.04,0.2086,6.2502
83,-300.21,0.11,0.2374,5.9052
84,-416.30,0.49,0.4302,12.6759
85,-110.45,-0.43,0.1971,6.3441
86,-239.93,0.61,0.2411,6.9505
87,-120.10,-1.86,0.3595,12.2513
88,-239.11,0.04,0.2872,8.9126
89,-88.60,-0.00,0.2226,7.1295
90,-119.06,-0.24,0.2667,8.9551
91,-366.20,-0.22,0.2200,6.1386
92,-405.90,-0.27,0.2473,5.0573
93,-112.46,-0.66,0.2383,7.3627
94,-132.39,0.58,0.1562,3.1125
95,-232.48,-1.10,0.3337,10.8919
96,-149.86,0.12,0.2561,8.9542
97,-41.80,-0.69,0.2394,7.7447
