episode,loss,rewards,adv
0,-6.74,-98.09,-50.4186
1,-7.30,-112.49,-60.3460
2,-3.12,-42.97,-20.7647
3,-26.70,-376.71,-188.6426
4,-17.32,-224.68,-99.2035
5,-3.85,-51.01,-22.7805
6,-16.49,-286.20,-166.6447
7,-6.42,-115.61,-69.6511
8,-18.12,-255.29,-121.0003
9,-5.75,-86.41,-44.9431
10,-25.13,-372.62,-187.5711
11,-9.61,-174.72,-103.1967
12,-9.72,-128.64,-58.5831
13,-9.48,-162.24,-92.9114
14,-9.91,-160.83,-87.0648
15,-5.53,-116.60,-73.7627
16,-4.78,-109.22,-72.4732
17,-12.90,-205.81,-112.8553
18,-12.07,-183.69,-96.6291
19,-8.29,-132.02,-70.1325
20,-13.02,-153.74,-59.0812
21,-12.17,-170.36,-81.0033
22,-13.11,-230.60,-134.6391
23,-6.35,-97.67,-50.7671
24,-8.77,-134.27,-68.6636
25,-18.24,-229.56,-96.4484
26,-6.97,-96.28,-44.2227
27,-9.04,-200.89,-132.8722
28,-18.22,-279.15,-144.5809
29,-9.04,-108.16,-40.1310
30,-5.71,-106.93,-63.5554
31,-23.59,-361.22,-186.1678
32,-18.97,-298.05,-157.0163
33,-27.42,-359.84,-162.3473
34,-4.31,-82.32,-48.3603
35,-7.11,-100.04,-46.1288
36,-4.57,-78.15,-41.8806
37,-5.99,-120.40,-72.8210
38,-16.67,-317.80,-191.4282
39,-6.91,-122.06,-67.5795
40,-7.24,-107.93,-51.0181
41,-15.80,-262.63,-142.5025
42,-5.03,-88.83,-47.8956
43,-4.40,-93.33,-56.9411
44,-8.18,-125.46,-60.2671
45,-6.12,-120.88,-70.6410
46,-5.81,-121.79,-74.0643
47,-7.46,-97.77,-36.5071
48,-9.22,-135.67,-60.9512
49,-7.33,-110.77,-49.0678
50,-6.72,-127.64,-71.6966
51,-17.57,-280.68,-142.7856
52,-9.20,-115.12,-41.3208
53,-8.50,-135.89,-65.8832
54,-7.11,-137.78,-79.2133
55,-13.31,-203.01,-94.8545
56,-19.61,-318.35,-163.7433
57,-6.40,-98.59,-43.1536
58,-6.83,-104.30,-45.6584
59,-4.96,-110.92,-65.7871
60,-6.06,-95.64,-41.9174
61,-21.37,-305.87,-141.8186
62,-8.74,-154.65,-80.7052
63,-7.68,-141.12,-74.2140
64,-6.34,-118.05,-61.4517
65,-8.30,-166.41,-95.2207
