episode,rewards,loss,l2_grad,max_grad
0,-74.84,-2.87,0.2722,9.6574
1,-116.60,-1.96,0.3332,10.2588
2,-126.78,-4.66,0.2638,6.5867
3,-212.58,-8.99,0.3727,14.5673
4,-182.66,-3.30,0.2815,8.0757
5,-359.26,-6.40,0.3324,10.8777
6,-79.23,-1.16,0.1532,5.5703
7,-106.18,-1.69,0.2078,7.3934
8,-192.12,-6.46,0.1510,4.0568
9,-253.86,-2.30,0.2578,8.4141
10,-116.89,-1.23,0.1260,3.4821
11,-320.42,-3.84,0.3117,6.6141
12,-229.88,-1.35,0.4212,13.6377
13,-213.66,-0.22,0.2512,8.2240
14,-111.23,-0.36,0.1734,5.1810
15,-122.73,2.00,0.1715,5.9209
16,-127.85,2.22,0.1413,4.8493
17,-260.58,2.12,0.1151,2.3888
18,-208.17,-0.49,0.1895,6.4918
19,-422.91,5.29,0.4118,12.0419
20,-245.29,1.92,0.2162,7.6307
21,-257.04,-4.27,0.1221,2.7988
22,-112.83,2.06,0.1498,5.1574
23,-340.39,-1.47,0.2435,4.8457
24,-91.36,5.18,0.2605,8.4042
25,-116.08,-2.48,0.2959,8.3757
26,-276.75,11.15,0.4175,15.2974
27,-317.63,1.49,0.1165,2.7161
28,-4.93,9.38,0.1860,4.5483
29,-279.45,-4.79,0.1223,3.9767
30,-103.95,4.08,0.1338,4.8291
31,-333.91,15.61,0.2577,8.0979
32,-182.84,-14.55,0.1787,5.3612
33,-151.00,7.14,0.2281,7.1755
34,-191.84,10.85,0.2577,8.3472
35,-71.54,3.81,0.2808,9.4075
36,-290.21,-21.75,0.2906,7.9954
37,-81.93,0.68,0.1525,5.0904
38,-91.36,-5.31,0.0921,2.5981
39,-113.48,2.46,0.2234,7.0433
40,-92.26,1.47,0.2104,7.3605
41,-103.38,-0.42,0.2270,8.3152
42,-303.40,-12.70,0.1564,5.4047
43,-468.40,0.44,0.2290,7.4187
44,-153.46,-6.14,0.2116,6.1359
45,-157.82,-11.47,0.2824,8.6041
46,-144.37,-10.37,0.4159,14.3375
47,-247.29,5.82,0.2768,8.7981
48,-156.16,2.65,0.1379,2.9753
49,-76.13,-3.71,0.2268,8.7517
50,-195.28,-15.74,0.1577,4.2943
51,-124.86,2.63,0.2030,5.1615
52,-23.45,5.18,0.2355,8.0089
53,-212.91,7.41,0.1481,3.8369
54,-66.71,-5.65,0.2519,8.6166
55,-206.27,19.79,0.1978,5.4602
56,-183.92,6.78,0.1358,4.3115
57,-108.03,-2.46,0.2220,7.5052
58,1.32,-9.40,0.1632,4.7034
59,-258.02,-9.95,0.2222,6.3560
60,-148.59,-7.23,0.2582,7.2109
61,-219.06,-5.55,0.2357,8.7724
62,-194.54,0.47,0.3841,9.2166
63,-251.89,7.33,0.2480,7.6658
64,-95.37,-5.37,0.1454,3.5835
65,-180.58,11.58,0.3110,8.5570
66,14.28,-8.51,0.1383,3.5203
