episode,rewards,loss,l2_grad,max_grad
0,-142.8,-139.62,0.122,3.8288
1,-200.95,-172.16,0.3194,7.2605
2,-233.6,-193.16,0.4862,16.5304
3,-105.16,-94,0.0444,1.0731
4,-204.77,-207.4,0.2299,7.6748
5,-281.81,-255.93,0.4422,16.8167
6,-114.99,-127.79,0.1511,5.5624
7,-114.69,-96.49,0.0842,2.9573
8,-220.38,-191.91,0.2154,8.4403
9,-68.15,-83.45,0.1387,4.1924
10,11.94,28.99,0.0772,2.3586
11,-169.59,-148.19,0.1528,4.0884
12,-432.07,-366.32,0.5112,17.1739
13,-126.77,-121.06,0.1353,3.3757
14,-85.75,-83.41,0.0789,2.6457
15,-66.57,-86.07,0.0905,3.6159
16,-111.65,-102.96,0.0958,3.1818
17,-81.15,-91.09,0.1185,4.0957
18,-69.32,-70.48,0.1064,3.2776
19,-88.72,-78.22,0.1502,5.4493
20,-116.34,-105.55,0.1193,3.7322
21,-61.11,-85.56,0.1376,5.4288
22,-91.81,-97.15,0.0739,2.3753
23,-114.63,-119.19,0.0998,2.2555
24,-363.67,-305.08,0.7294,24.8016
25,-459.08,-362.01,0.9297,28.1079
26,-55.21,-75.19,0.1073,4.0184
27,-179.44,-132.14,0.1935,5.9002
28,-124.45,-122.64,0.2696,10.5048
29,-121.7,-110.15,0.1182,4.2267
30,-123.02,-95.09,0.2014,5.7015
31,-388.26,-317.15,0.504,17.7386
32,-145.15,-148.17,0.155,4.1221
33,-131.4,-126.43,0.1499,3.7482
34,-213.72,-228.91,0.4943,16.8955
35,-267.23,-249.64,0.6773,26.2829
36,-288.5,-239.32,0.1366,2.6257
37,-141.6,-125.39,0.1607,5.7116
38,-257.53,-190.43,0.1842,5.9416
39,-131.49,-98.53,0.0848,2.3477
40,-327.11,-265.04,0.4068,14.7629
41,-111.13,-97.43,0.0934,3.1288
42,-298,-304.63,0.3225,10.2241
43,-140.86,-128.4,0.1061,4.0328
44,-79.5,-85.56,0.1142,4.0519
