episode,loss,rewards
0,1.55,0.18
1,20.74,2.13
2,29.26,2.97
3,2.75,0.28
4,10.64,1.06
5,2.81,0.28
6,7.19,0.75
7,9.09,0.92
8,2.17,0.22
9,4.82,0.47
10,3.41,0.35
11,22.56,2.30
12,10.28,1.11
13,4.79,0.50
14,18.05,1.83
15,11.64,1.17
16,3.49,0.36
17,8.72,0.89
18,16.61,1.70
19,5.95,0.61
20,16.49,1.68
21,7.34,0.73
22,50.40,5.28
23,11.26,1.14
24,6.54,0.68
25,6.46,0.68
26,4.42,0.49
27,2.25,0.23
28,7.56,0.77
29,4.66,0.48
30,12.11,1.27
31,5.14,0.53
32,1.59,0.16
33,17.59,1.91
34,7.63,0.78
35,4.85,0.52
36,8.05,0.86
37,1.50,0.16
38,1.84,0.20
39,3.42,0.36
40,16.34,1.69
41,12.00,1.24
42,5.00,0.53
43,15.97,1.69
44,1.80,0.22
45,3.97,0.43
46,5.87,0.62
47,5.38,0.57
48,1.02,0.12
49,7.48,0.81
50,18.90,1.99
51,9.65,0.98
52,8.14,0.87
53,3.14,0.33
54,1.50,0.16
55,6.23,0.67
56,7.80,0.82
57,2.55,0.29
58,1.08,0.11
59,12.04,1.30
60,2.78,0.25
61,1.83,0.20
62,12.44,1.36
63,4.18,0.44
64,5.20,0.58
65,9.52,0.96
66,13.70,1.54
67,4.68,0.56
68,8.20,0.87
69,17.79,1.88
70,11.38,1.21
71,1.95,0.22
72,14.05,1.52
73,8.22,0.88
74,18.43,2.01
75,0.93,0.10
76,12.80,1.37
77,15.20,1.63
78,0.58,0.06
79,2.49,0.27
80,44.12,4.89
81,15.22,1.62
82,7.75,0.80
83,10.28,1.27
84,7.43,0.90
85,9.25,1.02
86,4.86,0.54
87,10.16,1.14
88,18.97,2.11
89,14.10,1.64
90,4.24,0.53
91,12.64,1.43
92,0.78,0.09
93,1.34,0.16
94,3.23,0.36
95,16.31,1.85
96,36.00,3.95
97,6.05,0.79
98,19.92,2.33
99,2.87,0.31
100,26.52,3.06
101,9.80,1.13
102,9.80,1.20
103,5.16,0.61
104,9.18,1.03
105,31.11,3.77
106,13.18,1.52
107,2.49,0.28
108,24.69,2.96
109,3.33,0.39
110,12.49,1.43
111,18.84,2.05
112,7.82,0.92
113,5.89,0.69
114,13.47,1.66
115,4.83,0.65
116,28.18,3.34
117,11.00,1.30
118,9.24,1.16
119,3.77,0.46
120,5.22,0.67
121,10.11,1.31
122,12.22,1.58
123,1.58,0.20
124,8.22,1.11
125,7.66,0.91
126,22.01,2.84
127,1.54,0.20
128,16.14,2.24
129,5.40,0.82
130,5.19,0.74
131,11.44,1.51
132,3.19,0.44
133,17.26,2.59
134,15.56,2.10
135,11.28,1.61
136,10.74,1.54
137,6.93,0.96
138,3.57,0.54
139,1.28,0.19
140,15.26,2.44
141,18.26,2.62
142,8.28,1.14
143,2.15,0.39
144,1.58,0.28
145,27.47,3.52
146,11.65,1.67
147,12.84,2.04
148,1.89,0.28
149,2.64,0.40
150,5.12,0.72
151,3.26,0.48
152,16.61,2.16
153,14.21,1.90
154,6.81,0.99
155,4.33,0.67
156,7.00,0.97
157,14.37,1.92
158,6.05,0.90
159,3.00,0.40
160,3.61,0.44
161,7.64,1.03
162,3.30,0.46
163,6.89,0.89
164,9.73,1.28
165,9.42,1.06
166,8.40,1.25
167,6.30,0.89
168,9.95,1.22
169,5.36,0.72
170,23.20,2.97
171,6.69,0.98
172,1.65,0.23
173,21.41,2.67
174,15.22,2.13
175,26.80,3.96
176,21.87,3.05
177,2.53,0.39
178,21.41,2.94
179,7.15,0.89
180,39.11,5.39
181,17.31,2.71
182,40.71,6.43
183,4.57,0.64
184,8.83,1.55
185,7.69,1.25
186,8.70,1.42
187,30.82,4.70
188,20.93,3.28
189,16.63,2.84
190,13.60,2.57
191,12.19,2.36
192,3.17,0.53
193,23.92,4.38
194,10.51,1.85
195,1.36,0.32
196,10.07,2.18
197,7.39,1.29
198,6.94,1.52
199,5.96,1.18
200,13.15,2.35
201,5.13,0.99
202,25.14,4.98
203,3.27,0.85
204,4.71,0.91
205,10.46,2.19
206,16.04,3.28
207,5.98,1.11
208,26.00,5.49
209,3.00,0.61
210,10.52,1.78
211,20.83,3.93
212,0.42,0.10
213,3.27,0.67
214,9.27,1.66
215,8.63,1.86
216,6.08,1.11
217,13.59,2.84
218,8.56,1.38
219,6.08,0.94
220,11.62,2.73
221,7.79,1.66
222,3.43,0.71
223,7.90,1.22
224,7.05,1.30
225,10.50,1.77
226,15.34,3.03
227,8.80,1.79
228,8.23,1.59
229,20.03,3.76
230,24.47,4.08
231,5.12,1.03
232,9.98,1.80
233,8.17,1.59
234,1.23,0.20
235,1.37,0.21
236,1.74,0.37
237,25.68,4.11
238,13.19,2.68
239,12.44,2.48
240,37.47,6.11
241,8.25,1.26
242,14.54,3.22
243,9.22,1.72
244,12.36,1.70
245,28.48,5.21
246,12.78,2.18
247,5.80,1.01
248,17.83,2.79
249,2.02,0.32
250,0.76,0.13
251,9.86,1.74
252,19.42,3.61
253,4.69,0.86
254,1.48,0.29
255,22.08,4.13
256,5.42,0.82
257,4.00,0.65
258,10.00,1.90
259,15.56,2.84
260,2.00,0.35
261,29.09,5.01
262,9.79,1.69
263,1.20,0.22
264,6.63,1.32
265,5.47,1.18
266,2.96,0.47
267,4.32,0.85
268,21.11,3.67
269,8.43,1.70
270,2.50,0.55
271,6.67,1.19
272,4.44,0.84
273,21.38,3.78
274,6.03,1.04
275,5.72,1.18
276,8.45,1.43
277,3.62,0.66
278,7.43,1.15
279,14.11,2.97
280,34.20,5.67
281,17.21,2.77
282,12.26,1.98
283,5.45,0.93
284,1.53,0.31
285,1.64,0.28
286,15.89,2.32
287,21.01,3.40
288,2.02,0.31
289,6.83,1.26
290,16.99,2.43
291,10.32,1.58
292,6.14,0.80
293,2.63,0.36
294,11.59,1.52
295,2.06,0.27
296,12.92,1.92
297,2.53,0.34
298,1.43,0.20
299,12.15,1.75
300,3.53,0.51
301,15.15,1.98
302,25.80,3.40
303,24.63,2.94
304,26.35,3.56
305,0.83,0.12
306,4.63,0.63
307,23.46,3.01
308,9.58,1.25
309,24.07,3.19
310,8.37,0.96
311,22.66,3.14
312,5.34,0.73
313,13.97,1.79
314,0.75,0.09
315,2.06,0.26
316,21.86,2.95
317,17.39,2.20
318,19.52,2.82
319,29.20,4.07
320,1.47,0.21
321,1.71,0.23
322,0.65,0.08
323,6.00,0.89
324,1.14,0.17
325,20.18,2.82
326,14.70,2.41
327,18.21,2.83
328,1.55,0.31
329,2.05,0.26
330,3.30,0.52
331,13.58,2.19
332,16.83,2.88
333,3.89,0.52
334,1.00,0.16
335,8.65,1.48
336,1.13,0.15
337,0.63,0.11
338,1.18,0.20
339,5.32,0.82
340,6.85,1.25
341,3.14,0.69
342,8.99,1.35
343,7.42,1.34
344,17.51,3.78
345,13.87,2.70
346,0.90,0.17
347,16.32,3.04
348,12.80,2.65
349,20.00,2.80
350,13.09,2.26
351,7.69,1.68
352,8.35,1.85
353,16.71,2.97
354,8.04,1.77
355,2.19,0.46
356,17.38,2.96
357,1.62,0.37
358,1.23,0.39
359,8.49,1.76
360,3.05,0.60
361,1.17,0.27
362,1.02,0.20
363,18.72,4.01
364,5.70,1.01
365,12.92,2.19
366,15.70,3.10
367,9.97,1.78
368,1.92,0.41
369,0.33,0.07
370,9.94,2.14
371,16.59,3.10
372,2.80,0.49
373,5.56,1.28
374,12.09,2.61
375,2.99,0.49
376,4.22,0.78
377,0.39,0.09
378,1.54,0.26
379,2.80,0.56
380,5.00,1.32
381,4.49,0.95
382,32.30,5.70
383,22.15,4.28
384,14.23,2.99
385,9.67,2.49
386,13.57,2.70
387,10.20,2.38
388,18.06,2.90
389,10.91,2.61
390,19.29,3.75
391,13.54,2.43
392,10.86,2.18
393,9.99,2.31
394,11.06,2.68
395,0.96,0.19
396,2.31,0.41
397,12.10,2.99
398,20.57,4.52
399,11.91,2.19
400,17.20,3.45
401,6.07,1.13
402,6.13,1.46
403,9.26,1.81
404,11.83,2.30
405,12.92,2.34
406,4.57,1.10
407,3.19,0.65
408,2.89,0.61
409,12.03,2.73
410,7.11,1.55
411,0.47,0.13
412,11.94,2.15
413,17.52,3.94
414,13.67,3.07
415,7.03,1.85
416,1.63,0.37
417,5.19,1.64
418,14.33,2.60
419,23.10,5.03
420,3.88,1.06
421,6.03,1.57
422,22.62,5.25
423,15.37,2.84
424,16.35,3.88
425,3.32,0.80
426,13.67,3.36
427,0.62,0.17
428,12.06,2.47
429,1.51,0.46
430,17.70,4.63
431,5.64,1.34
432,1.21,0.29
433,3.01,0.57
434,3.36,0.87
435,2.65,0.99
436,3.06,0.76
437,1.85,0.61
438,0.59,0.15
439,8.83,2.54
440,16.15,3.66
441,7.99,1.61
442,12.83,3.69
443,6.18,1.73
444,13.52,3.13
445,10.82,2.53
446,1.47,0.35
447,16.56,3.15
448,1.65,0.39
449,3.72,0.87
450,9.66,2.72
451,34.33,6.50
452,14.75,3.24
453,0.69,0.14
454,16.79,3.05
455,6.78,1.18
456,1.74,0.34
457,4.05,0.74
458,1.80,0.32
459,7.22,1.30
460,19.81,3.81
461,19.44,3.14
462,2.10,0.33
463,7.80,1.20
464,2.70,0.47
465,4.46,0.77
466,2.80,0.52
467,1.29,0.23
468,9.39,1.88
469,1.26,0.22
470,1.18,0.17
471,4.97,0.84
472,6.71,1.21
473,10.28,1.55
474,4.29,0.69
475,3.95,0.60
476,19.90,3.29
477,2.75,0.32
478,2.19,0.34
479,14.46,2.60
480,2.10,0.40
481,19.57,3.00
482,22.66,3.60
483,0.93,0.17
484,1.00,0.16
485,17.75,3.19
486,24.84,3.85
487,11.77,1.70
488,1.69,0.31
489,9.57,1.47
490,31.34,4.68
491,1.85,0.27
492,10.01,1.35
493,2.41,0.36
494,4.06,0.57
495,52.00,7.87
496,5.33,0.73
497,2.86,0.45
498,8.30,1.19
499,1.92,0.30
500,7.99,1.34
501,7.70,1.07
502,18.47,3.04
503,18.68,2.72
504,2.19,0.31
505,3.27,0.50
506,8.56,1.13
507,9.45,1.54
508,11.49,2.04
509,7.73,1.09
510,4.58,0.79
511,22.31,3.79
512,2.96,0.47
513,24.37,3.41
514,6.88,0.93
515,4.46,0.77
516,29.61,4.16
517,11.80,1.81
518,14.58,2.88
519,13.76,2.15
520,7.54,1.28
521,35.06,5.20
522,7.68,1.16
523,0.82,0.14
524,3.26,0.51
525,0.99,0.16
526,2.19,0.36
527,4.66,0.72
528,4.10,0.67
529,4.89,0.77
